GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD03_S28,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years - 45 to 54 years
SUBHD0101_S29,Number - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
SUBHD0102_S29,Number - Male; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
SUBHD0103_S29,Number - Female; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
SUBHD0201_S29,Percent - Both sexes; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
SUBHD0202_S29,Percent - Male; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
SUBHD0203_S29,Percent - Female; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
HD03_S29,Males per 100 females; Total population - 18 to 64 years - 45 to 64 years - 55 to 64 years
SUBHD0101_S30,Number - Both sexes; Total population - 65 years and over
SUBHD0102_S30,Number - Male; Total population - 65 years and over
SUBHD0103_S30,Number - Female; Total population - 65 years and over
SUBHD0201_S30,Percent - Both sexes; Total population - 65 years and over
SUBHD0202_S30,Percent - Male; Total population - 65 years and over
SUBHD0203_S30,Percent - Female; Total population - 65 years and over
HD03_S30,Males per 100 females; Total population - 65 years and over
SUBHD0101_S31,Number - Both sexes; Total population - 65 years and over - 65 to 74 years
SUBHD0102_S31,Number - Male; Total population - 65 years and over - 65 to 74 years
SUBHD0103_S31,Number - Female; Total population - 65 years and over - 65 to 74 years
SUBHD0201_S31,Percent - Both sexes; Total population - 65 years and over - 65 to 74 years
SUBHD0202_S31,Percent - Male; Total population - 65 years and over - 65 to 74 years
SUBHD0203_S31,Percent - Female; Total population - 65 years and over - 65 to 74 years
HD03_S31,Males per 100 females; Total population - 65 years and over - 65 to 74 years
SUBHD0101_S32,Number - Both sexes; Total population - 65 years and over - 75 to 84 years
SUBHD0102_S32,Number - Male; Total population - 65 years and over - 75 to 84 years
SUBHD0103_S32,Number - Female; Total population - 65 years and over - 75 to 84 years
SUBHD0201_S32,Percent - Both sexes; Total population - 65 years and over - 75 to 84 years
SUBHD0202_S32,Percent - Male; Total population - 65 years and over - 75 to 84 years
SUBHD0203_S32,Percent - Female; Total population - 65 years and over - 75 to 84 years
HD03_S32,Males per 100 females; Total population - 65 years and over - 75 to 84 years
SUBHD0101_S33,Number - Both sexes; Total population - 65 years and over - 85 years and over
